Comment|No|Yes|Kind of offensive language
wystarczy przeczytać, POprzednie artykuły tego pseudodziennikarzyny debskiego, ( celowo z małej) żeby zobaczyć jego poziom wypowiedzi, przeciwnikom obecnej władzy, zależy na ciągłym podjudzaniu POlakow na siebi, PO rządziło 8 lat z żadnej obietnicy się nie wywiązało, puścili ludzi w skarpetkach, okradli o godnym życiu na emeryturze, zabierając kasę zgromadzona na OFE, gdzie wtedy byle debski!??|2|0|1
jakby chcieli to zrobili by porządek w 24 godziny ale nie chcą wolą aby niewinni ludzie cierpieli , nie powinni się pier.....olić tylko z grubej rury i po zawodach , wielkim błędem  było pozwolenie na powstanie państwa islamskiego a teraz mają kłopot , a angela niech zabierze do siebie wszystkich uchodźców bo Polska ich nie chce .............. , nie stać nas na utrzymanie darmozjadów .............|1|3|1
Raczej ty ja posiadasz skoro nazywasz siebie gorszym sortem. Nie potrafisz zrozumiec kontekstu wypowiedzi Kaczynskiego ( jezeli sluchales wogole tego wywiadu) czy po prostu nie umiesz samodzielnie myslec i odbierasz wszystko 1 do 1 co ci powie tvn ?|1|2|1
spalić meczety-będzie spolój|1|14|1
teraz widzicie do czego sa zdolni pobozni piszczykowie.|7|2|1
Hanna Lis to dla niej znakomite grono ! Bardzo dobrze ze ja wyrzucili !|54|30|1
do komplett powinni zwolnic Kurskiego|1|0|1
Wef kuper, kaczki mają kuper. Zad to mo kuń raczej.|0|0|1
tedy, gdzieś to wyczytał? Sam tego nie wymyśliłeś. Nie dziwi cię że bliscy ofiar z innych partii nie mają wątpliwości co do tego że to był wypadek, splot nieszczęśliwych i nietrafnych decyzji. Kaczyński i Macierewicz też o tym doskonale wiedzą a bajkę o zamachu wymyślili na użytek takich jak ty.|3|0|1
WIRTUALNA POLSKA JESTEŚCIE  WREDNYMI ANTAGONISTAMI,WROGAMI POLSKI ŻEGNAM WAS MEDY REDAKTORSKIE...zmieniam portal|9|54|1
Tylko baran i głupek pluje w swoje gniazdo, a może krol Jagiello tez kolaborowal z Krzyzakami co???!|2|0|1
A wystarczy poświęcić tę wodę i żaden... tam nie wlezie...|52|24|1
....widać nad czym rząd będzie pracował.... niejedna posłanka to mogła by i czym innym powalić jeża.......|0|0|1
Nie mów za wszystkich mów za siebie|1|0|1
WSTYD I HAŃBA TO KRAŚĆ< NISZCZYĆ LUDZI A NA KONIEC TAK JAK LIS LATAĆ DO NIEMCÓW NA SKARGE|1|1|1
Uświęceni członkowie klanu Kaczyńskiego zrobią porządek z bezwstydnymi sztukami teatralnymi, zbyt swobodnymi pisarzami, dziennikarzami krytykujacymi kaczą rewolucję. Tak na być. Tego chcieliśmy, głosując na PiS.  Przyjdzie czas na inne dziedziny życia. Polska scena komiczna polega na tym, że ludzie modlą się przed teatrem zamiast w kościele. Może i racja, bo kościoły coraz częściej zajmują się handlem i pokazywaniem "baszoborów", co może wkrótce zastąpić teatr w ogóle. Przepraszam za finalną radę: nie uczestniczę w tym, co mi nie odpowiada, lecz nie domagam się likwidacji teho, co mi nie odpowiada. Śmieszne,|1|0|1
zobaczył jak kartofel rozprysł się na betonie.|1|1|1
Lewicka dobrze prowadziła program, to Gliński zachowywał się jak CHAM i nie chciał odpowiadać na pytania, mącił i zachowywał się agresywnie ubliżając tej dziennikarce. Dziennikarz jest od zadawania pytania, także tych trudnych, a polityk który jest na usługach społeczeństwa które go wybrało ma OBOWIĄZEK rzetelnie na te pytania odpowiadać, a nie zachowywać się w sposób arogancki. Tym PIS-owcom od władzy się we łbach już poprzestawiało, uważają się za nadludzi. Lewicka na pewno znajdzie pracę w prywatnych mediach, bo powtarzam to rzetelna i dociekliwa dziennikarka. PIS-owcy uważają że dziennikarze nimi manipulują, ale gdyby racja i prawda były po ich stronie to naprawdę nie musieli by się niczego obawiać... Nie oglądam już TVP, będę oglądał prywatne stacje a nie PIS-owską propagandową TVP.|18|7|1
pewnie czyta kawały o sobie|10|18|1
Dlaczego się nie bronicie przed dyktaturą.... głupi ludzie. Niedługo będą wam mówić jak całować się z żoną aby było poprawnie, pobożnie, tak jak sobie głównodowodzący wyobraża.. nędza nad nędzami.|6|2|1
lep na tępy lud|4|2|1
Separatyści przestrzegają rozejmu a to drażni bandytów ukraińskich|1|1|1
podobno sa prowadzone rozmowy z ks. Rydzykiem ?Czy to prawda? ,ma on wejsc na antene za redaktora  Krasko?!|2|1|1
NA RESZCZIE   BOLKOWI   POWIEMY   SKONCZMY   ZE   ZDRAJCOM   RAZ  NA   ZAWSZE    HA   HA  HA  HA  HA   HA    ALE  HISTORIA   Z   DZIEWCZYNAMI   SUPER  !!!!!!!!!!!!!!!!!!|32|12|1
sie dowiedział że kot to nie kot a kotka i właśnie został ojcem 8 (ośmiorga) dzieci ( 8 x 500 = 4000 zł.) Ja również bym się śmiał "do rozpuku"|0|2|1
Ta dzienikarka żydowskiego pochodzenia zawsze może wziąć KREDYT przebranzowic się -fryzjer psów i pracować do 67 roku życia lub do śmierci|1|0|1
Problemem jest ustawa, Rzepliński wyciągnij głowę z d... Tasaka i zablokuj ustawę ze względu na niezgodność z prawem unijnym, bo mimo jednego plusu która daje ta ustawa jest też milion minusów, których krótkowzroczność ludu nie widzi, ale nie napiszę bo już pewnie szpiEgują mój komputer.|0|0|1
piszac swoj komentarz anonimowy mlodziaczku ty jestes smieszny w swej opinii. Mozesz buty czyscic takiej legendzie na calym swiecie jakim jest p.Walesa. Innego Polaka swiat nie zna jak p,Walese. Dzieki jego walce z komuna mozesz pisac anonimowo i jest wolnosc slowa, ale nie wierz o tym bos mlody i ......|16|4|1
Jak dostał tableta i odkrył jego istnienie to pewnie rechocze z każdej głupszej reklamy.|1|1|1
co sie martwicie mohery przed wami jeszcze 3 i pół roku zajebistych zmian|1|4|1
Kiedy wreszcie dotrze do was ludzie, że każda religia to narzędzie pewnych grup interesu do zdobywania pozycji i skubania was z kasy. Wszystkie religie powinny być zakazane. Islam dziś jest jak chrześcijaństwo w średniowieczu. Żeruje na niewykształconych smoluchach. Meczety i kościoły powinno się przerobić na szkoły i uczyć ludzi o świecie zamiast uczyć ich jak interpretować stare książki pełne sprzeczności i bajek.|2|0|1
Kto go nauczyl uzywanie tabletu?/|2|1|1
trzeba wreszcie spojzec prawdzie w oczy =WSZYSTKIE RELIGIE SA ZLE I SA ZAKALA CYWILIZOWANEGO SWIATA. nie ma dobrej religii -sa tylko zle i jeszcze gorsze.|2|5|1
Kukiz niekumaty został na sali z swoimi "Narodowcami"|3|2|1
śmiał się z takich samych osłów takich jak ci co nie lubią PiSu|2|2|1
Osunąć wszędzie od koryt PO i PSL antypolskie organizacje i to NATYCHMIAST   wykorzystać współpracę Kukiz 15 a nawet część ludzi z SLD bez naćpanej hołoty i palikopetruciarni|3|0|1
no a z czego sie moze smiac stary kawaler z kotem ...|1|1|1
Od niej powinni zaczac:) to taka opetana persona ze tv  trwam powinna z nia reality show zrobic cos w stylu egzorcyzmow na zywo a prowadzacym moze Miszczak z tvn. Albo ten z mucha ze strefy szabanaście.|4|3|1
Jak to co? Wszystkiemu winne są kobiety. Chodzą i kręcą tymi tyłkami, że każdemu normalnemu chłopu mózg staje.|8|5|1
gdybys kolezanko wychwalała pod niebiosa jedynego prawdziwego Polaka to bys pracowała w TVP|3|1|1
Jego wzrost go bawi.|1|2|1
Czy platforma trzymała by kretów PIS?|0|1|1
Przecież cała Polska z nich się śmieje . Komuniści i złodzieje.|389|359|1
Nie będzie Kraśki, będą ZDROWAŚKI.|5|2|1
Pan Maciarewicz uwaza za   honorowe doprowadzeniedo katastrofy przy ladowaniu wbrew zreszta obsludze lotniska. Braak kwlifikacji uwaza za dowow do dumy. POGRATULOWAC NONSENSU PANU NIE MAM ZMIARU. jest to glupia szkodliwa propaganda.|1|0|1
Musimy pogonić złodziei z PiS...;|1|0|1
przykre że oceniasz innych według siebie - nie każdy jest sprzedajny jak ty i twoi kolesie pełowcy i zacofani|1|0|1
dla Pana Jarosłwa wszyscy Polacy są przystawkami,chyba że głosują na niego to wtedy są głupim ludem|4|4|1
Zobaczył ser z "Biedronki"|0|3|1
Ten się śmieje kto się śmieje ostatni. Zobaczymy po jakimś czasie czy będzie mu tak zabawnie.|267|389|1
właśnie tam, to właśnie tam działa Tatarzyna, któremu polscy sługusy frau Merkel zwani dla niepoznaki PO dali na działalność bandycką 1 mln euro|0|0|1
"NAS"??? czyli ..."resortowe dzieci" ????? i słusznie..... czas ... żebyście ...żyli jak przeciętny Polak ... z 1200 zł ...w zamian za ciężką pracę... albo zupełnie bez dochodu jak 3 mln Polaków ...którym się wmawia, że nie ma w Polsce bezrobocia !|10|73|1
BRAWO PANIE RYSZARDZIE NIECH PAN NAS RATUJE OD TYCH CIEMNIAKÓW NIE ZNAJACYCH SIĘ NA EKONOMIIIIIIIII.|0|0|1
TO JEST GODNE ZACHOWANIE PREZESA,WSTYD|6|2|1
czym ciemniejszy lud tym łatwiej mu naobiecywac  w Egipcie też mówili że zacmienie to kara dla nieposłusznego /ciemnego/ludu    teraz tylko będą komisje z wiadomym wynikiem i miesięcznice ciekawe czy też zmarłych ze swoich rodzin odwiedzają co miesiąc ?????|755|739|1
że IS rośnie w siłę to na rękę Asadowi? co autor brał?|0|3|1
Po co tylu dziennikarzy,spikerów w TV. Wystarczy jeden jak w telewizji Północnej Korei przekaz będzie rzeczywisty i bez zakłamań.|2|0|1
To pan Schulz nie wie ze krytykowanie dzialan politycznych innych panstw  maja tylko Polacy?????? Jedyni sprawiedliwi i wszechwiedzacy,tworcy najwspanialsze demokracji swiata????Ze nikt, ale to NIKT na swiecie nie ma prawa krytykowac polakow????|3|1|1
PIS dlugo nie rzadzi wiec trudno wymagac,zeby wszystko  bylo zrobione,ale.... Mogliby zakanczac projekty,ktore zaczeli! Teraz zrobili "rozpizdziaj"! 500 na dziecko,emerytury,kwota wolna,12zl i co? NICZEGO nie skonczyli! Zajeli sie sprawami,ktore w miernym stopniu interesuje spoleczenstwo. A przeciez wiadomym jest,ze wiekszosc ludzi glosowala na nich ze wzgledu na te projekty o ktorych napisalam na poczatku.|3|1|1
Brat i bratowa jeszce nie ostygli w robie zamordowani przez ruskich w Smoleńsku pod Katyniem a ten się śmieje..|1|0|1
PIS to tylko hańbi  Polskę|2|0|1
Teraz to on sobie może... Na pewno jest odpowiednio 'sczyszczony' z teczek i teraz kozakuje. Żenada.|414|251|1
Pewnie wolisz bajkę Jedrek i Beatka|1|0|1
I bardzo dobrze !!! Jeśli pracowała przez 8 lat to na pewno jest umoczona.|1|0|1
żeby uporządkować służby to trzeba pracy w systemie czterozmianowym, całą dobę a nie tylko w nocy, nie kombinujcie..dzieci w przedszkolu rozumieją problem|0|2|1
Nie ma na co czekać, trzeba ciąć równo z ziemia|11|131|1
"ela - o, to jest głęboki komentarz (zwłaszcza w kroku). Ciekawe co powiesz, jak zaczną tu napływac w liczbie  2 milionów, wcześniej wywoławszy wojnę, bo nie lubia Rosji.|2|7|1
Moze na tle nerwowym ,reaguje smiechem.|9|5|1
"znakomitym gronie"?! "dziennikarzy"?! Oni tam piją w tej TVP?|42|13|1
W ramach inwigilacji obywateli chyba wszedł na prywatną pocztę zakochanej pary i czyta miłosne wyznania. Niech się uczy samotny biedaczek.|1|3|1
prezesa rozbawił kawał w języku angielskim, ale tylko do czasu aż mu "rysiu czarniecki tłumacz" przetłumaczył na polski.|2|0|1
Nie dałeś rady znaleźć na pilocie tego czerwonego guzika?|13|9|1
no to pożartowałeś przy sobocie|3|1|1
muzułmanie, wynoście się z Polski, na zawsze, nie chce tego co jest w Niemczech|0|15|1
to on umi tableta używać? szacun!|1|1|1
Po prostu idziemy PIS-du :-) My Polacy Aborygeni Europy ... oszczają nas za niedługo wszystkie psy i koty. Także kotek PREZESA DUCE!|4|1|1
Moherowe bojówki zostały rzucone do ataku. A to dopiero początek.|7|1|1
Jak na sondaż przeprowadzony w Jachrance na grupie 235 "prawdziwych Polaków", to strasznie małe to poparcie.|1|0|1
Broni Lisow Lewicka Krasko  czyli przyznaje sie ze robila to samo klamala|1|0|1
I nie WRACAJCIE tu więcej !!!|3|2|1
No a co ze sciemnianka , ze niemal wszyscy mieszkancy Krymu to tatarzy i ukropincy ? Swoim prad odlaczaja ??? Nie robcie z siebie debili - nie można siedzieć na dwóch koniach jednocześnie ;)))|1|2|1
Ten sondaż to robił chyba gimnazjalista na lekcji religii i tak dostał  pałę  bo słońce  Tatr jarekpolskezbaw nakazał  65% poparcie ,tylko patrzeć  jak całe szefostwo CBOS do wymiany już  w następnym  tygodniu.|2|1|1
było nie było łojciec dyrechtor kształci kadry więc gdzieś je trzeba upchać...|2|0|1
Na półwyspie Krymskim powinno powstać nowe państwo Tatarów. Ruskie i ukraińce z Krymu wont.|28|10|1
Antek ty przestan bredzic. Jaka Armia taki MINISTER OBRONY.|1|0|1
Kaczoryzm pełną gębą|10|2|1
Dlaczego żadne polskojęzyczne "gwiazdy teatralne" nie sikają na GwiazdęDawida i nie wycierają łechtaczek o K0ran ? - Przecież jest społeczne zapotrzebowanie !|9|8|1
kaczyński napisał pierwsze A na tablecie i z tego się cieszy|0|2|1
I taka jest prawda Polacy maja dość tej bandy z ł o d z i e i z peło-psl-nowoczesna|112|66|1
Ewelisia śliczna pusia. Niesamowicie zgrabny tyłeczek. Wszystkiego najlepszego Ewelisiu! :)|25|21|1
Zapewne oglądał jak duda sprząta kupy po jego kocie i podpisuje kuwetę|3|3|1
DLACZEGO BOG KOBIETY NIE MOZE LEPIEJ TRAKTOWAC OD FACETA PROSTE EWKA PIERWSZA KOBITKA BYLA CURKA SZATANA TAKI BYL POCZATEK WSZYSTKIE RASY Z TEGO POWODU DZIEDZICZA W SOBIE GEN SZATANA|1|0|1
Mazurek pojawił sie w TV no "Wsieci" sie go pozbyły a robił wrażenie normalnego ,chyba mu trochę odbiło czy został przekupiony przez lewaków.|1|0|1
Ja też tych pingwinów nie trawię , ale jestem u siebie nie w Afryce , czy innej Arabii. Więc jak sie nie podoba to wyyynoooochaaa.|0|10|1
Ocho! Chyba jesteś z KODu, bo takie umiłowanie demokracji jak u Dzierżyńskiego :)|0|0|1
duda to zwykła marionetka ten człowiek nie powinien być prezydentem hańba pis to sekta prezesa|2|1|1
Tia teraz wiadomość są jedyne słuszne pro pisowskie żal:(|3|1|1
Tusk to teraz zweifikołek pełną gębą|11|3|1
Banderoland zrobi wszystko ,żeby nie zapominac o nich ,żeby judzić na Rosję .Mam nadzieje że Rosja odwdzięczy się zakręceniem upainie gazu przez nieznanych sprawców|0|3|1
A kiedy spiskującego z Putinem na molo weźmiecie w obroty ?|82|54|1
Szanowny Panie Prezydencie! Za rządów pisu? Cięzko będzie, ale trzymam kciuki i proszę się tym całym dziadostwem nie przejmować, szkoda zdrowia! Pozdrawiam serdecznie i zdrowia życzę w Nowym 2016 Roku!|7|2|1
Bravo Lechu. Trza przetrwać czasy małych ludzi!|16|3|1
Poniszczyl dokumenty i mysli ze wszyscy sa glupi a tylko on madry tylko ze jest dokladnie odwrotnie!|54|26|1
życzyłbym sobie aby każdy podpisywał swoje głosy wyborcze na liście aby później nie można było powiedzieć ja nie głosowałem na pis,bo teraz jak widzę tą arogancję władzy,obłudę i psucie państwa to przychylam się do Platona iż tylko inteligentne jednostki powinny móc rządzić państwem ale w odróżnieniu do jego czasów teraz możemy to zweryfikować testem na inteligencję|6|0|1
Bolek, będąc prezydentem spaliłeś kompromitujące materiały z Kiszczakiem, Falandysz za dużo wiedział to dostał zwału, teraz nie mędrkuj bo wszyscy wiedzą żeś Bolek agent SB. Mówi ci coś poligon Zegrze.|33|15|1
ja wiem, to jarek wysyłał. Ale to jego kot pisał, a dudek podpisał, bo on wszystko podpisuje co mu prezes podsunie. Tylko nie wiem, kto jarkowi pomógł wysłać, jak on przecie mejli słać nie umi. A propo, kiedyś trzymał piniondze na moncie swojej mamy, a gdzie trzymie dziś, jak mama nie żyje, a on konta ni mo, bo banków nie lubi? Pewnie pod kocią kuwetką...|5|1|1
Jak tam LEMINGI...to byla wasza POwska demokracja co???zgodna z Trybunalem co???Ostro PIS brac sie za te podsluchy i do Komisji europejskiej przed Trybunal...|26|15|1
KAŻDA RELIGIA TO ZŁO ! MYŚLISZ, ŻE KATOLICYZM TO POKORNA RELIGIA? KATOLICYZM WYMORDOWAŁ MILIONY ISTNIEŃ LUDZKICH. WIĘC, NAUCZ SIĘ, ŻE KAŻDA RELIGIA TO NIEPOŻĄDANY CZYNNIK W NASZYM ŻYCIU. POZBĄDŹ SIĘ RELIGII, A BĘDZIESZ WOLNY OD BZDUR I GŁUPOT I ROZJAŚNISZ SWÓJ UMYSŁ.  ERYK ANTYKLERYK|2|0|1
Tusk niemiecki czlowiek , obywatel Polski w UE  to HAŃBA i Trybunał Stanu.|7|4|1
Dobrze wiedzieli co nowi odkryja , to byla tylko kwestia czasu ! Zapewne maja jeszcze w zanadrzu cos za uszami , do czego sie wladze dogrzebia , a co pograzy ich bez reszty ! Teraz juz wiadomo dlaczego POwstal klon Swetru !!! On czysty i niewinny !!!|55|37|1
Dziewczynkom nie darujesz|74|35|1
Przeciez wszyscy wiemy, ze komune obalil kacyk Jarek, nikt inny. A byl tak gleboko zakamuflowany, ze nawet go nie internowano|3|1|1
No polonistko, jedziesz, jedziesz<<<< tylko jest to moralna jazda w dół!|2|0|1
Bo nie kłamią i nie pluja, masz ty. pojecie????|5|0|1
Szanowny p. Ukielski, wspaniale, ze jest pan zwolennikiem takiego spotkania - bez tego nie bedzie szansy powstrzymac tego szalenstwa, ktore teraz przybiera na sile. Wszystko jedno, co p. Walesa mialby do powiedzenia (a zapewne ma) musi byc otwarte publicznie ! nie moze byc tak, ze malolaty w pl dostaja zadanie wybiegania przed tzw. kosciol i wykrzykiwania pytan o niepojetej przez nie same tresci (czyli tzw. wykorzystywanie emocjonalne niepelnoletnich do zadan dla nich totalnie abstrakcyjnych). To paranoja, wiec prosze w imieniu wielu bezstronnych obywateli o stworzenie forum do wypowiedzenia wszystkich niedopowiedzen, ktore trawia Polskie jak rak...|3|0|1
Masz gosciu wyobraznie hoho|1|0|1
Amelia - jak wyjdziesz z tej smoleńskiej mgły i przejrzysz na oczy, to ze zdumieniem stwierdzisz, że nie PO przegrało, ale cała Polska. No i jeszcze powiedz mi, co się dowiedziałaś ze zniszczonych dokumentów? Chyba tylko tyle, że zniszczone? A może ty wróżką jesteś?|43|10|1
Nie ma to jak temacik zastępczy, jak si e pod d... pali. A, prezio mówił, że mścić się nie będą. Ktoś uwierzył?|7|0|1
Nie łżyj!|148|101|1
21  wiek  a skad tylu ateistow czyli POGAN? tepota nie ma granic|1|0|1
co ty imputujesz przeciez tam rzadzi Macierewicz ??????|2|1|1
Czy ci ludzie nie rozumieją co to są wybory ? Nawt Szpilka rozumie swoją przegraną .|32|9|1
niech będzie TV-TRWAM po angielsku! Mamy, My, Naród Wybrany pracę zleconą od JP-2: ewangelizujmy bezbożny świat. I Chrystusa wreszcie korzystając z poparcia PiS ukoronujmy na króla IV RP!|4|2|1
